frame,tick,measured,x,y,z,vx,vy,vz,max_body_span,max_pair_gap
141,39198,1,105.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
142,39476,1,106.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
143,39754,1,107.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
144,40032,1,107.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
145,40310,1,107.800000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
146,40588,1,108.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
147,40866,1,109.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
148,41144,1,110.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
149,41422,1,111.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
150,41700,1,111.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
151,41978,1,112.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
152,42256,1,113.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
153,42534,1,113.400000000,4.000000000,4.000000000,0.000000000,0.000000000,0.000000000,1,0
154,42812,1,114.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
155,43090,1,115.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
156,43368,1,115.800000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
157,43646,1,116.600000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
158,43924,1,117.400000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
159,44202,1,118.200000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
160,44480,1,119.000000000,4.000000000,4.000000000,0.800000000,0.000000000,0.000000000,1,0
